Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
3177,1010,104.0648521,30.61124243,814,104.0581892,30.61123371,638.7054599,,79.55091529,66.30247386,42.45457267,67.15805232,54.06576281,54.74051555,40.26035034,85.67637282,70.93270573,58.64000255,79.74837576,44.20261484,54.56542724,52.50775638,63.5317102,71.56266858,58.93985406,64.02467948,55.33910122,55.00812573,64.02203848,49.3420527,39.76198569,51.30372457,51.25916429,52.7069262,65.07126577,71.47816338,53.97004168,60.4015387,50.55513934,52.96940734,75.89543105,69.53108984,61.6224671,71.23293111,58.14162226,48.75540352,74.53288997,86.71299769,59.69103035,59.48491078,43.26273277,72.21277322,46.81828587,62.62183675,84.60002605,72.61877238,36.56378371,50.82133555
3178,1011,104.0824791,30.61850486,1244,104.0830681,30.62309815,512.1917406,,49.20320924,51.7946704,51.7946704,51.7946704,51.7946704,51.7946704,31.79121149,39.39936466,37.17520698,36.1547111,36.65785817,36.40454622,36.53076307,36.49912688,36.48332932,36.49122639,36.48727743,36.4892518,36.48826459,36.48851139,36.48863479,36.48857309,36.48860394,36.48858852,36.48859623,36.48859237,36.4885943,36.48859333,36.48859382,36.48859358,36.4885937,36.48859364,36.48859367,36.48859365,36.48859366,36.48859365,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366,36.48859366
3179,1011,104.0824791,30.61850486,1337,104.085047,30.6139843,558.2127839,,80.27560675,62.40888267,60.30205618,197.0162767,197.0162767,197.0162767,197.0162767,54.31259519,66.32231096,66.32231096,66.32231096,60.80381307,63.44328404,62.76216348,62.42705825,62.59416236,62.51049863,62.55230251,62.5313936,62.5366195,62.53923281,62.53792613,62.53857945,62.53792613,62.53792613,57.08994381,59.68988148,58.36097068,59.68988148,59.68988148,73.20823395,65.76151654,69.28535844,67.47746286,68.36946118,68.36946118,68.36946118,80.38264088,73.89096045,77.00021891,75.41355504,75.80405901,76.00083149,75.90231773,75.90231773,75.90231773,75.90231773,75.90231773,76.40935445,76.28196125
3180,1012,104.0041934,30.67864559,97,104.0016803,30.67972348,268.7515305,,39.22319634,39.22319634,35.59622921,96.75055098,36.44698668,63.08104383,44.78155565,44.38098669,40.67997939,64.24339375,40.05197453,38.7268451,47.6017471,77.71128593,59.81486923,38.39307579,51.46305903,47.95566343,45.58585531,45.70892172,43.5323064,45.12581398,46.14281275,48.6387353,72.74477517,54.85077923,47.78712623,58.63669756,37.99105404,43.69614647,56.74519119,32.85247911,39.38953729,39.59776985,46.07169094,46.29212966,35.07837788,59.17464892,40.30267141,41.39061004,34.87177204,40.61494535,35.57005551,38.54603625,39.91860566,37.53658622,30.76329125,49.61566717,36.33740351,34.06709542
3181,1012,104.0041934,30.67864559,638,104.0055209,30.68097239,287.5339652,,45.64478428,22.02387819,43.95423672,31.67933511,36.42659031,38.05596598,46.92304056,35.84839047,35.81737975,35.29828729,41.49974756,39.55881304,37.11593814,29.93846058,27.45682426,31.99310206,25.28800346,37.04804133,42.59762447,32.75703401,45.99341002,41.15794333,70.89878594,49.40917779,39.77415081,40.75284546,34.05007483,41.33874899,39.73597984,33.75398722,49.12431683,41.40489099,42.84022094,50.00232137,52.27890276,36.5398685,24.18509988,29.54678234,36.55092778,54.23536923,39.83793232,35.53051287,39.92757087,35.19114096,39.45201619,37.2346142,32.84017369,27.64011414,33.59842594,35.30258672
3182,1012,104.0041934,30.67864559,1057,104.0026792,30.6762614,301.4362171,,33.26888015,34.0178803,28.5571153,47.9392538,42.0201503,28.40016701,35.89883115,30.29791665,30.01024285,29.24199357,45.9385392,42.83567296,35.00549618,37.03653179,30.67619453,39.41296786,45.68069893,34.98292655,25.94032785,33.05087457,34.34083486,37.21115753,44.62049266,50.37541422,38.27011533,47.34141268,61.1019359,39.31776745,32.52258885,57.3336897,31.62839935,44.87265534,57.72182881,37.57515172,41.71440237,45.43386462,46.29002238,37.54914815,33.78838759,39.40615254,34.0178803,28.57591525,35.73557787,26.43533207,38.28375303,36.628597,55.08479094,37.72318823,41.0272356,31.34066084
3183,1013,104.0999452,30.68004742,154,104.1023914,30.67925837,250.1177755,,46.11646565,49.06942735,49.06942735,47.64148105,49.06942735,43.16854935,50.36163085,48.04396576,56.82028739,67.05039848,69.86048212,47.60605987,38.15355897,63.53423054,44.13843097,54.81088376,35.31074478,90.04239918,53.07017632,61.66689522,64.19811329,62.90705215,63.54602579,63.22492459,63.38506853,63.38506853,63.38506853,47.70458235,62.52944388,60.12848025,61.25333278,48.08672853,43.4288099,51.97252478,72.03391934,76.79522318,45.55264713,67.57403316,45.07754652,51.60022876,47.79954834,48.69624428,49.15732788,48.92569977,49.03080889,49.03080889,53.10522552,58.50619098,55.67502975,56.31946783
3184,1013,104.0999452,30.68004742,223,104.1002021,30.68127471,138.2294114,,40.29359361,20.13012665,15.32549784,21.08477881,22.97618535,21.54224593,24.75237543,23.5505377,35.29261568,16.88775614,27.11857662,25.91801464,23.09168822,23.55160943,29.35845906,28.68160698,23.20272212,23.03823523,23.03823523,27.11857662,30.52919516,27.11857662,27.11857662,20.36667999,20.22869435,24.47340399,24.47340399,24.47340399,24.47340399,35.54470579,39.38991144,21.04497118,34.14242752,38.37731729,19.9042059,39.36913616,23.36957469,38.27891393,39.65146462,30.20490932,31.23174986,26.39925098,18.09548658,16.95759352,16.45171702,16.70082533,18.18856086,19.03645959,21.76206477,25.06931391
3185,1014,103.9936314,30.64138601,251,103.9911505,30.64022479,270.3514961,,41.02277707,34.94669249,34.94669249,36.08027381,43.43965124,43.50761672,44.98915498,54.57562913,33.44554591,33.89692245,30.60582975,36.26452525,37.57684259,37.72648376,39.61731557,35.78181566,37.74679629,36.8661131,34.82165961,36.39999218,37.74765365,37.06157579,37.40146869,37.23074651,37.31591234,37.27328078,31.44637758,37.28392953,37.28925619,37.2892573,37.28925675,51.02308708,37.28925689,48.18145475,33.47430387,37.29581553,29.09612514,29.09612514,40.20373368,40.53794442,39.00429021,36.79642291,29.09612514,29.09612514,29.09612514,29.09612514,36.97114477,34.03025825,26.15914763,26.15914289
3186,1014,103.9936314,30.64138601,860,103.9966501,30.64288317,333.4956767,,117.9935564,47.36033279,41.39946331,105.7783644,31.98537655,48.11961668,39.29899955,67.32249176,30.93210216,36.4261894,37.75422755,55.6792782,27.38247089,57.87692371,73.73773757,88.01938681,45.8150901,45.47668319,61.25430797,49.18475241,77.03108204,121.2711552,49.45756969,49.41189016,49.23737267,46.14972563,56.89973631,42.186835,88.93218045,42.18729419,43.32968603,52.54198845,41.57268282,41.83251131,59.24438411,57.34612082,62.36802266,67.44856383,80.21722289,82.41526572,124.8008769,61.72670623,62.26166657,64.65995565,45.31506647,67.82962916,53.24099495,70.40419481,87.50615424,71.46335929
