Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
2068,661,104.1400381,30.62512518,145,104.13936,30.62338859,203.1393862,,18.45168521,18.45168521,23.94439695,20.29514682,21.63614764,21.32334221,17.82757031,19.63753465,19.72936484,21.55642713,29.84905267,31.7267588,21.6308146,24.45825386,25.30456022,32.50230179,36.65673134,19.05672418,34.4610791,18.44392914,18.7033706,18.6312824,18.60818805,23.21592985,29.43434032,28.22358405,38.534543,29.43566604,29.43566604,32.77543038,18.95250743,31.27826655,43.99101899,35.93397896,48.30262816,34.29033437,25.43210044,36.9466573,38.18093262,53.24949929,20.92422862,23.60675368,31.15236593,38.19237098,38.19185092,29.48917617,38.19198092,28.18274205,37.10352543,26.11597793
2069,661,104.1400381,30.62512518,393,104.1417226,30.6285471,412.1781335,,48.41243982,51.33130202,59.40315384,58.74937196,60.19640084,52.93872356,62.34627229,57.96255002,47.13974365,50.00909468,51.04122341,61.69818215,63.39452384,196.1023719,134.8946619,42.32636089,59.61666593,65.63249307,62.94130565,52.8579914,55.16779479,52.47891355,48.63724493,56.42652523,78.70287634,44.90656708,175.6025184,52.30427967,56.86123382,40.57906875,56.57877656,44.73893308,42.58349618,62.42495922,51.14930302,51.9835404,55.45918407,88.54348767,69.74373962,51.44114566,50.72855373,43.42298338,48.23440953,61.90809447,51.60997479,125.7492611,64.39857934,48.15321371,43.83578377,46.08918405
2070,661,104.1400381,30.62512518,1638,104.1352029,30.62718758,516.729278,,60.47874509,73.53880683,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,78.16073113,93.01127004,114.8287284,177.1643239,139.3427267,155.9937443,147.1988448,151.4687349,149.3032677,150.378206,149.8388089,149.8388089,149.8388089,52.84731252,78.13636479,63.05055674,69.78750225,66.24819581,67.97180711,67.09893441,67.53255037,67.3150441,67.42362182,67.36928921,67.39644455,67.38286415,67.38965367,67.38625875,67.38795618,67.38710744,67.3875318,67.38731962,67.3875318,67.3875318,89.4339135,76.86105274
2071,662,104.0403974,30.60929237,919,104.0419633,30.60947907,151.5351911,,17.13875865,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,65.33253748,56.531263,56.531263,56.531263,56.531263,56.531263,56.531263,56.531263,56.531263,56.531263
2072,662,104.0403974,30.60929237,1094,104.0378111,30.61174835,368.1805411,,49.27323227,81.81789802,75.20283393,69.30457244,62.54580957,66.72287682,67.19644857,67.19644857,67.19644857,67.19644857,67.19644857,91.16180743,120.4954498,128.684461,83.62460239,85.23793878,77.76750703,72.28084242,80.78654108,76.29736805,54.99792315,77.37222942,85.10502328,77.64569348,77.7831517,77.71436178,74.35904336,77.73154786,52.38932601,106.0359958,65.05275818,112.3262668,87.48844541,73.63610822,84.8265782,83.55547561,84.18622918,56.99052531,84.02764968,83.94858376,83.98809811,82.27438766,76.28488909,56.64316017,65.13267558,56.88626386,72.03532326,64.36826942,63.59456981,63.44474527
2073,662,104.0403974,30.60929237,1149,104.0393534,30.60919966,100.6051159,,13.46388168,15.12227212,13.46388168,12.11299054,10.64187318,11.5416959,11.64560827,11.64560827,11.64560827,11.64560827,11.64560827,17.47201144,12.60847406,17.67801915,15.51085299,15.91993043,14.07201233,12.78652841,14.80476837,13.72183358,14.24274564,13.97743795,15.88601366,14.04283391,14.0757619,14.05927862,13.26660869,14.06339582,14.06339582,14.06339582,9.673568837,19.28878235,16.50015568,12.70801464,15.81508698,15.49345127,15.65261703,15.57262746,15.61251979,15.59254811,15.60252756,15.59753624,14.06518125,15.41184754,11.42518666,11.25360178,13.02800062,11.25360178,11.08108744,11.04781407
2074,663,104.0925346,30.60710553,92,104.0925349,30.60819686,120.950215,,11.20533838,8.140089249,11.82554456,12.49055577,9.130570074,8.126278443,11.30823183,11.59575963,7.761511123,10.16998805,17.10887128,17.7180376,53.42586184,22.91688284,11.95389908,20.34676514,15.38589307,12.620892,12.57532921,13.35832802,20.06547346,24.08966938,13.97819499,17.05303293,17.66412876,15.65792415,17.01416245,16.70768265,21.34415559,17.63572139,15.76183797,28.00133595,15.80979046,15.25351335,15.76183797,19.09502372,17.36026599,17.4501322,18.35266451,19.94483935,15.52578977,19.01816003,19.63376332,15.95970948,16.80944952,14.01418648,16.05533827,21.19867449,11.35386634,17.77590423
2075,663,104.0925346,30.60710553,681,104.0926227,30.60533263,196.6699687,,39.64866568,39.64866568,39.64866568,37.36210487,39.64866568,79.55189745,30.45212419,30.45212419,30.45212419,28.09570981,28.09570981,24.37218201,28.09570981,28.09570981,39.65443362,38.13349482,38.13349482,38.13349482,30.87261137,59.74783859,42.43221926,42.43221926,42.43221926,45.97479788,44.13253083,23.85886731,77.16750815,45.6291227,29.45957923,65.40525518,32.25566685,37.71035352,32.25566685,45.38537739,31.9747304,39.00891941,55.09820135,28.6065409,34.67247244,39.33399374,39.77594873,43.61469533,32.93078546,37.52713183,35.07903654,37.26378354,36.13842044,37.26378354,19.37105027,29.25668956
2076,663,104.0925346,30.60710553,1053,104.089617,30.60737573,281.2981577,,43.35693025,28.64889615,38.16197236,48.79177874,33.762399,41.84600693,43.99739468,46.03060762,43.83867393,46.03060762,46.03060762,56.25963154,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,35.563595,34.63611347,31.89522418,33.75577892,62.35673447,43.8007512,51.45698007,47.32118541,49.30250086,48.29152922,48.79177874,48.54036514,48.66574723,48.60297532,48.63434102,48.61865311,48.62649579,48.62257415,48.62453489,48.6235545,48.62404469,48.62379959,48.62392214,48.62386086,48.62386086,48.62386086,44.02927686
2077,664,103.9780511,30.71972036,52,103.9691811,30.72962272,1387.754926,,232.3682667,140.9285679,154.5129196,141.0612066,172.581206,150.0034278,135.9387159,119.7343974,139.1329871,142.5173991,133.1652883,184.8964184,181.2632666,158.7055269,182.7217702,164.5265661,191.5826885,163.5949703,139.7581672,132.2677363,155.2201801,126.2511984,174.8862684,167.4208448,175.7227111,188.7286786,173.8390121,212.8942216,162.2051212,144.3906859,155.5149489,176.2746627,143.4577957,163.4878997,177.0032855,165.9773333,171.3130813,154.6125411,169.1381374,248.7077901,167.0177262,164.2906103,156.6118412,144.599645,151.3627793,135.2075165,160.0400769,136.2523018,173.2437879,153.740256
