Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
2488,796,104.086401,30.68210717,399,104.0835475,30.68354394,316.333154,,30.94563463,29.52807315,28.11079043,27.48510107,20.37208147,25.7065317,20.06105733,28.32051448,40.13389795,31.76198083,35.79254126,44.56050298,23.60205916,26.89018546,21.48678027,23.50948296,27.6743464,39.54221391,28.17415523,38.20607667,23.54837375,30.12696705,36.30724254,22.79023098,24.28143613,22.1187444,18.66884188,29.73366461,38.99997789,36.49269192,25.2086188,19.12341485,46.51958147,44.2129533,31.07228798,20.41773831,28.15325969,30.20687943,22.93654289,43.55706079,35.152003,45.05041292,45.52162642,25.56227507,44.31125893,21.16727425,21.22645581,32.59033312,27.56271128,22.23131975
2489,796,104.086401,30.68210717,718,104.0839234,30.67841788,472.7748279,,46.17442703,47.14652023,60.14400355,45.92523962,64.10506141,63.03664372,63.15359482,48.47246367,59.25688366,62.85042025,75.42050429,78.55713281,56.8171529,66.45151315,48.2263815,58.0141246,57.65901812,66.74468159,42.60298825,62.11640075,67.1006945,48.45521368,95.88672566,84.88725089,64.22601436,73.45206944,41.18546595,61.02142983,47.94336283,54.22815504,57.73369676,45.61999587,46.32524171,69.18656018,81.69549027,68.76724769,45.96583153,44.10337617,52.32060807,53.5006485,45.06591779,44.3515148,65.49711743,51.53082034,51.31626272,61.59189556,43.61279642,49.33302552,52.38233538,62.53721469
2490,796,104.086401,30.68210717,852,104.0882401,30.6850032,366.1329294,,23.89988297,48.84033519,48.84033519,48.84033519,49.349435,48.84033519,46.47667651,46.47667651,46.47667651,33.1175514,72.32255396,44.1567352,61.59245541,61.16373763,32.35872044,50.803884,43.3578469,46.15727015,49.34313695,38.99640668,49.34313695,73.63567295,52.2709977,55.56823549,44.60502693,48.37478607,52.84056532,35.38034164,72.22348196,34.97775885,42.04397275,42.04397275,42.04397275,42.04397275,42.78318245,43.54885063,48.86296741,37.51201838,50.30834144,62.85367538,49.73881305,49.18203529,27.23302781,46.32965012,46.32965012,29.8884024,37.3695821,31.73543851,31.73543851,31.73543851
2491,796,104.086401,30.68210717,1264,104.0890923,30.68076523,297.6242794,,22.62824511,31.73092021,33.05081734,23.40256438,27.26329277,24.61682725,37.17721741,32.33094164,34.17695074,20.59485643,26.006005,26.03472822,25.78694118,17.99239976,25.78694118,25.78694118,31.10152121,27.40625159,29.2425602,22.90641167,27.09095843,24.47624,24.47624,24.47624,37.0743047,28.14968554,33.12047622,23.95187942,26.39033019,24.37323489,18.06825305,22.57817734,31.83147373,21.02938971,20.49776398,21.02938971,22.4152177,22.4152177,23.77032514,25.94460696,28.55670058,26.13286356,30.17453384,28.9449997,33.17174631,27.48307746,27.48307746,27.48307746,42.90079703,24.13169833
2492,797,103.998596,30.67045434,342,103.9957969,30.67074439,270.0882232,,44.33058983,38.673554,44.33058983,38.673554,38.673554,38.673554,38.673554,44.33058983,34.35751249,55.1408849,36.64225874,43.02290281,49.43987814,43.56912338,43.56912338,43.32644352,43.08645214,29.3825516,32.18262651,30.7189133,31.43373966,31.07221582,31.25193225,31.40227922,31.40227922,46.82107239,35.68820108,36.3801968,43.55997383,36.20469417,43.81428006,43.87020118,43.80618366,43.80618366,30.84274714,41.48918138,33.70251659,36.41638964,32.86244541,32.64864986,32.75519877,44.42659144,34.09724613,33.41387313,33.75095681,33.28474472,33.0564355,35.55434553,34.25991987,34.89513273
2493,797,103.998596,30.67045434,1219,103.9988935,30.6724723,225.4638964,,75.62143111,38.48297243,38.48297243,25.80826795,30.89624211,28.12398852,29.44500722,28.76934136,29.10325322,29.10325322,29.10325322,61.64582482,39.53966451,48.17796006,43.43346931,45.6828578,44.52977511,45.09894719,44.81255393,44.95529445,44.88381071,44.91952413,44.9016603,44.91059044,44.90612493,44.90835757,44.90724122,44.90779939,44.90724122,44.90724122,28.98821525,35.23303968,31.80700655,33.43248065,32.59949385,33.01073322,32.80382473,32.90695374,32.85530831,32.88111074,32.88111074,57.56525014,41.85484846,48.4687675,44.9196569,45.7572979,46.18794364,45.97161226,46.07952403,46.02550491
2494,797,103.998596,30.67045434,1721,104.001228,30.67021384,253.5573664,,31.56224818,28.65954534,30.96883864,35.04055735,27.744879,38.24608319,32.75061832,42.34883812,46.3353563,35.81639928,35.81639928,44.71801685,30.54844131,28.00019997,29.38218409,34.27921477,34.27921477,40.7048615,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,27.82946704,39.0088256,32.48421776,35.44879686,33.90182058,33.90182058,30.04712173,26.97950303,21.40226305,23.86942303,22.56861693,23.86942303,23.86942303,25.04270285,24.73870076,24.5894508,24.66384999,24.6265942,24.6358976,24.64055193,24.63822454,24.63938818,24.63880635
2495,798,104.0191596,30.62797015,41,104.0136726,30.6339832,848.9314547,,70.80575122,66.87425026,67.77645323,66.41233267,78.66546298,68.7741938,75.55385011,83.64428975,106.1164318,84.36909362,82.26522845,92.58440176,91.36482024,91.36482024,109.6096241,77.29643872,104.9333555,97.0363308,95.06887256,95.03985673,103.5484682,88.66982311,98.26859283,93.22277287,103.8337835,94.43501698,113.4978024,103.2737719,113.4927688,103.3196873,94.85904007,93.72762214,89.57416375,91.60834987,95.80417671,91.30743956,95.56613124,95.44755159,95.50680462,91.21381006,95.4771689,87.29277928,87.49458177,87.29277928,80.04621237,111.132845,90.97224519,104.0300704,92.29315595,92.9681012
2496,798,104.0191596,30.62797015,455,104.0112729,30.62008866,1155.187674,,83.22437187,76.18172326,81.01316156,78.19159114,59.02919958,82.3500124,77.08388557,77.08388557,66.57875728,77.08388557,83.91193758,69.11567268,82.0791242,83.71504422,72.22690445,84.18371713,67.4879115,83.67556592,85.14398768,84.01364902,66.90909589,86.81995045,86.81995045,86.81995045,76.02693598,81.70286103,97.44543737,88.63175121,98.87766808,99.33142419,99.21170466,143.8988106,91.80299396,88.81709902,99.2252666,78.98719138,94.48461262,74.85389662,92.19738907,88.86059031,74.61364383,73.87968974,75.32777568,83.29666573,93.51190629,102.1787623,74.46151524,77.98735352,96.71338666,137.7044909
2497,798,104.0191596,30.62797015,966,104.0225494,30.63101898,468.7622333,,39.5209377,51.26196962,41.18472336,41.18472336,41.18472336,46.15820678,39.965519,42.83922168,96.43108799,35.80362178,69.8776,69.8776,69.8776,69.8776,69.8776,57.52173975,34.11477169,48.8789005,40.18360647,32.76784543,58.90206073,37.21155545,45.60929838,43.19651979,43.19651979,43.19651979,43.19651979,43.19651979,48.28452188,37.33504513,43.52144526,39.61370986,50.6263212,44.44804319,50.6263212,50.6263212,58.3348557,54.20791562,46.24464142,131.8393781,59.21207157,43.15969411,46.04485784,75.67462062,81.91961359,75.67462062,40.17962,52.48970575,45.51703412,48.75533521
2498,798,104.0191596,30.62797015,1233,104.0232414,30.62280846,693.0624025,,94.72379077,69.21011509,76.417294,76.417294,78.45989462,80.61468979,91.56053758,56.51244958,69.88864563,62.49279021,65.98412295,62.49279021,62.49279021,60.26629587,62.49279021,76.69133143,68.86784539,72.56934082,72.56934082,72.56934082,75.26469529,72.56934082,72.56934082,59.26424344,59.26424344,59.26424344,45.88551079,51.72375536,51.72375536,51.72375536,68.7334614,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,55.8796114,98.52022306,71.31188707,82.73656867
2499,799,104.1344607,30.62917938,696,104.1337947,30.6277929,166.3895178,,29.58035872,18.16965017,13.08579496,13.77907588,12.59758962,13.39991258,13.07151695,16.89412344,13.05154667,14.79617318,14.74366635,17.24316092,18.19465823,18.19465823,20.81374596,19.68971873,20.87115903,19.27779523,15.57759831,19.28034027,18.27657537,19.06120807,22.47692108,17.49507566,22.47582721,18.05431847,21.04053184,19.89658919,23.51064539,21.15734704,21.13814783,19.00892849,19.00892849,18.91744779,20.16844404,19.54750477,19.1565785,19.13465407,18.8273572,19.30421138,19.05753873,19.26369393,18.96148537,19.29024255,19.50340557,19.16583715,19.37025449,21.17167189,20.00055606,20.64103407
2500,799,104.1344607,30.62917938,1500,104.1354307,30.63132727,255.5581052,,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842,62.58565842
2501,800,104.0518713,30.61623795,295,104.051808,30.61828359,226.8000041,,27.83454596,26.68235342,35.14261183,35.96828259,37.6981923,29.58260923,34.96702419,32.57234101,44.73863095,25.90418595,54.55323037,58.32000105,24.589638,19.62692343,23.29970792,29.90769285,30.24000055,26.95147674,23.08523898,40.36271259,44.73863095,23.22019239,26.22316243,23.50428254,29.54915231,34.48701224,31.20504547,29.94883135,29.18605951,21.74622168,37.931708,29.50243956,34.21244562,34.16234371,22.25120122,25.06341836,23.39484283,23.84612128,22.84073148,25.08387142,19.56109283,23.19216062,23.58916619,76.48524728,24.6298647,21.91157369,20.06093402,21.37382238,59.16521846,23.64324367
2502,800,104.0518713,30.61623795,891,104.0504396,30.61321848,361.6936824,,49.81456029,40.2503016,42.00313731,47.73958778,51.80758316,47.43523704,44.64333451,45.80817086,43.82321436,32.09112154,45.87541715,46.75394099,36.7305291,46.25567519,39.48740733,39.48740733,47.24162382,46.67944757,47.11105652,44.10151589,45.29596619,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248,48.40510248
2503,800,104.0518713,30.61623795,1143,104.0536122,30.61502957,213.9732306,,21.27910581,21.27910581,21.27910581,21.27910581,21.27910581,21.27910581,21.27910581,21.27910581,25.76266322,20.70708683,19.6255702,22.04016109,20.48679867,20.74891933,23.55668594,20.74891933,19.09054846,19.88521795,19.09054846,19.09054846,16.01462849,16.01462849,14.60291242,16.01462849,27.65901724,18.6740274,18.6740274,18.6740274,18.6740274,18.6740274,24.53196274,21.20588108,22.74798465,21.20588108,21.20588108,19.99490279,19.99490279,16.40689308,19.35436257,19.35436257,19.35436257,18.27529372,18.27529372,18.27529372,16.44191313,18.27529372,19.28169287,18.76500926,18.76500926,18.76500926
